album,count,words,album_key
Graduation,0.8999999761581421,"above all things, love, the lights are low, your eyes are bright.",Graduation
Graduation,0.8999999761581421,"became the hood favorite, i can't even explain it, i surprise myself too. . .",Graduation
Graduation,0.8999999761581421,"the hood love to listen to jeezy and weezy. and, oh yeah, yeezy.",Graduation
Graduation,0.8999999761581421,and the weather so breezy.,Graduation
808s & Heartbreak,0.8999999761581421,"can't stop having these visions, i gotta get with it.",808s & Heartbreak
808s & Heartbreak,0.8999999761581421,"oh, you just gon' keep another love for you.",808s & Heartbreak
808s & Heartbreak,0.8999999761581421,back when i was livin' at home and this was all a big dream.,808s & Heartbreak
808s & Heartbreak,0.8999999761581421,it's funny.,808s & Heartbreak
808s & Heartbreak,0.8999999761581421,it's amazing. . .,808s & Heartbreak
808s & Heartbreak,0.8999999761581421,"it's amazing, so amazing, so amazing, so amazing.",808s & Heartbreak
808s & Heartbreak,0.8999999761581421,"look what he's been through, he deserves an applause"". . . so amazing, so amazing, so amazing.",808s & Heartbreak
808s & Heartbreak,0.8999999761581421,"can't stop, i can't stop, i can't stop.",808s & Heartbreak
808s & Heartbreak,0.8999999761581421,"oh, you just gon' keep it like you never knew.",808s & Heartbreak
808s & Heartbreak,0.8999999761581421,"it's amazing, i'm the reason.",808s & Heartbreak
My Beautiful Dark Twisted Fantasy,0.8999999761581421,god bless the man i put this ice over.,My Beautiful Dark Twisted Fantasy
My Beautiful Dark Twisted Fantasy,0.8999999761581421,this is the motherf****er i wanted!.,My Beautiful Dark Twisted Fantasy
My Beautiful Dark Twisted Fantasy,0.8999999761581421,this motherf****er is the exact motherf****er i wanted!.,My Beautiful Dark Twisted Fantasy
My Beautiful Dark Twisted Fantasy,0.8999999761581421,"ready for the world�s game, this is my olympics.",My Beautiful Dark Twisted Fantasy
My Beautiful Dark Twisted Fantasy,0.8999999761581421,"praises due to the most high, allah.",My Beautiful Dark Twisted Fantasy
My Beautiful Dark Twisted Fantasy,0.8999999761581421,"praises due to the most fly, prada.",My Beautiful Dark Twisted Fantasy
My Beautiful Dark Twisted Fantasy,0.8999999761581421,"the favorite, hah, my cup overrunneth with hundreds.",My Beautiful Dark Twisted Fantasy
My Beautiful Dark Twisted Fantasy,0.8999999761581421,"i can't love you this much, i can't love you this much.",My Beautiful Dark Twisted Fantasy
My Beautiful Dark Twisted Fantasy,0.8999999761581421,i got the power to make your life so exciting. . .,My Beautiful Dark Twisted Fantasy
My Beautiful Dark Twisted Fantasy,0.8999999761581421,"screams from the haters, got a nice ring to it.",My Beautiful Dark Twisted Fantasy
Watch the Throne,0.8999999761581421,i can't stop-op-op-op.,Watch the Throne
Watch the Throne,0.8999999761581421,love is their whole happiness.,Watch the Throne
Watch the Throne,0.8999999761581421,"no lies in my verses, hey.",Watch the Throne
Watch the Throne,0.8999999761581421,"it makes it easier, easier to bear.",Watch the Throne
Watch the Throne,0.8999999761581421,"twisted love story, true romance.",Watch the Throne
Watch the Throne,0.8999999761581421,"n**** still got love for you. . . ooooh, i love you so.",Watch the Throne
Watch the Throne,0.8999999761581421,success never smelled so sweet.,Watch the Throne
Watch the Throne,0.8999999761581421,"black excellence, truly yours",Watch the Throne
Watch the Throne,0.8999999761581421,"n**** watching the throne, very happy to be you.",Watch the Throne
Watch the Throne,0.8999999761581421,i can't stop. .,Watch the Throne
Yeezus,0.8999999761581421,damn your lips very soft.,Yeezus
Yeezus,0.8999999761581421,god!,Yeezus
Yeezus,0.8999999761581421,and you was screamin' that you love me.,Yeezus
Yeezus,0.8999999761581421,"star wars fur, yeah, i'm rockin' chewbacca.",Yeezus
Yeezus,0.8999999761581421,one good girl is worth a thousand bitches. . . bound to fall in love.,Yeezus
Yeezus,0.8999999761581421,god!.,Yeezus
Yeezus,0.8999999761581421,you love me when i'm hungover.,Yeezus
Yeezus,0.8000000119209291,you love me when i ain't sober.,Yeezus
Yeezus,0.8000000119209291,bound.... . . bound to fall in love.,Yeezus
Yeezus,0.8999999761581421,"when i wake up, i like to go again.",Yeezus
The Life of Pablo,0.8999999761581421,"god, i'm willing.",The Life of Pablo
The Life of Pablo,0.8999999761581421,"beautiful morning, you're the sun in my morning babe.",The Life of Pablo
The Life of Pablo,0.8999999761581421,i loved you better than your own kin did.,The Life of Pablo
The Life of Pablo,0.8999999761581421,"uhm, well cutie, i like your bougie booty.",The Life of Pablo
The Life of Pablo,0.8999999761581421,"i just keep on lovin' you, baby.",The Life of Pablo
The Life of Pablo,0.8999999761581421,nothing unwanted.,The Life of Pablo
The Life of Pablo,0.8999999761581421,"you can feel the lyrics, the spirit coming in braille.",The Life of Pablo
The Life of Pablo,0.8999999761581421,woo!,The Life of Pablo
The Life of Pablo,0.8999999761581421,you are the joy of my life.,The Life of Pablo
The Life of Pablo,0.8999999761581421,it feels so good to be free.,The Life of Pablo
ye,0.8999999761581421,i love myself way more than i love you.,ye
ye,0.8999999761581421,"make her mine, i done fell in love.",ye
ye,0.8999999761581421,the most beautiful thoughts are always besides the darkest.,ye
ye,0.8999999761581421,i love your titties 'cause they prove.,ye
ye,0.8999999761581421,"and i, i love myself way more than i love you.",ye
ye,0.8999999761581421,"make no mistake, girl, still love you .",ye
ye,0.8999999761581421,and i love myself way more than i love you.,ye
ye,0.8999999761581421,"make no mistake, girl, still love you",ye
ye,0.8999999761581421,"thank you for all of the glory, you will be remembered, aw.",ye
ye,0.8999999761581421,"make no mistake, girl, still love you.",ye
Kids See Ghosts,0.8999999761581421,"it feels so good, it should cost.",Kids See Ghosts
Kids See Ghosts,0.8999999761581421,look beyond for a feelin' like you never knew.,Kids See Ghosts
Kids See Ghosts,0.8999999761581421,with his great big smile.,Kids See Ghosts
Kids See Ghosts,0.8999999761581421,woo!.,Kids See Ghosts
Kids See Ghosts,0.8999999761581421,"yeah, nothin' hurts me anymore.",Kids See Ghosts
Kids See Ghosts,0.8999999761581421,man in the full knowledge of himself is a superb and supreme creature of creation.,Kids See Ghosts
Kids See Ghosts,0.8999999761581421,nothin' hurts me anymore.,Kids See Ghosts
Kids See Ghosts,0.8999999761581421,"we in love with winnin' . buy her bundles, fly her out, bring her friend, i try her out.",Kids See Ghosts
Kids See Ghosts,0.8999999761581421,"feel the love. . . we not worried 'bout no other niggas, we them other niggas.",Kids See Ghosts
Kids See Ghosts,0.8999999761581421,feel the love.,Kids See Ghosts
Jesus is King,0.8999999761581421,the greatest artist restin' or alive.,Jesus is King
Jesus is King,0.8999999761581421,"hands on, yeah, hands on.",Jesus is King
Jesus is King,0.8999999761581421,"every time i look up, i see god's faithfulness. and it shows just how much he is miraculous.",Jesus is King
Jesus is King,0.8999999761581421,"wah, woo, wah, woo, woo, woo, woo, woo.",Jesus is King
Jesus is King,0.8999999761581421,"wah, woo, wah, woo, woo, woo, woo",Jesus is King
Jesus is King,0.8999999761581421,"hands on, hands up.",Jesus is King
Jesus is King,0.8999999761581421,this is my eternal soul.,Jesus is King
Jesus is King,0.8999999761581421,keepin' perfect composure.,Jesus is King
Jesus is King,0.8999999761581421,"hands on, yeah, hands on.",Jesus is King
Jesus is King,0.8999999761581421,this my god-given right.,Jesus is King
